id,file,procedure,header,tags
7adec538,gen_measure_arc.hdev,main,Example for the application of the HALCON Measure Tool (in this program: pure image processing without visualization),"hdev,halcon-25.05.0.0,file-v1.2"
9fd82286,gen_measure_rectangle2.hdev,main,Pin Measurement: Example for the application of the HALCON Measure Tool (in this program: pure processing code without visualization),"hdev,halcon-25.05.0.0,file-v1.2"
c6aa1fef,apply_metrology_model.hdev,main,This example shows the usage of the metrology model to measure circles and rectangles with subpixel accuracy under challenging conditions easily. Display initializations,"hdev,halcon-25.05.0.0,file-v1.2"
2d5c1a9c,find_box_3d.hdev,main,"*************************************************************** Example for the generic box finder using 3D data. This example shows how to find generic boxes in a 3D scene. First, the 3D scene is gen...","hdev,halcon-25.05.0.0,file-v1.2"
4b424568,3d_gripping_point_detection_training_workflow.hdev,main,************************************************************ 3D Gripping Point Detection training workflow ************************************************************ This example shows the training ...,"hdev,halcon-25.05.0.0,file-v1.2"
77f0f4dc,3d_gripping_point_detection_workflow.hdev,main,************************************************************ 3D Gripping Point Detection example workflow ************************************************************ This example shows the deep-learn...,"hdev,halcon-25.05.0.0,file-v1.2"
8b3f7ffd,deep_3d_matching_data_generation.hdev,main,*************************************************************** Example for generating synthetic training data for Deep 3D Matching. This example shows how to use the Scene Engine data generation tool...,"hdev,halcon-25.05.0.0,file-v1.2"
03ac23b1,deep_3d_matching_training_workflow.hdev,main,*************************************************************** This example shows the typical workflow of a Deep 3D Matching training on a synthetic dataset. Note that the training data must have bee...,"hdev,halcon-25.05.0.0,file-v1.2"
647cfa8d,deep_3d_matching_workflow.hdev,main,This example shows the typical workflow of a Deep 3D Matching application with a model trained on synthetic data generated for the application.,"hdev,halcon-25.05.0.0,file-v1.2"
44ca0d6d,find_deformable_surface_model.hdev,main,"Example for Deformable Surface-Based 3D Matching This example shows how to use HALCON's deformable surface-based 3D matching to find potentially deformed objects in 3D scenes. In this example, a CAD m...","hdev,halcon-25.05.0.0,file-v1.2"
367c89c8,create_shape_model_3d_ignore_part_polarity.hdev,main,"This example program shows how to use HALCON's 3D shaped-based matching to find the 3D pose of tile spacers. Because the background is strongly textured, the metric 'ignore_part_polarity' in create_sh...","hdev,halcon-25.05.0.0,file-v1.2"
1e4710c5,create_shape_model_3d_lowest_model_level.hdev,main,"This example program shows how to use HALCON's shape-based 3D matching to find the 3D pose of tile spacers. Because the object appears large in the images, the 3D model needs many internal representat...","hdev,halcon-25.05.0.0,file-v1.2"
0ac7abce,find_shape_model_3d_recompute_score.hdev,main,"This program demonstrates the effect of using the generic parameter 'recompute_score' of the operator find_shape_model_3d. By setting 'recompute_score' to 'true', the score is recomputed after the pos...","hdev,halcon-25.05.0.0,file-v1.2"
80c8c6dd,debug_find_surface_model.hdev,main,This basic example shows how to use the procedure debug_find_surface_model to inspect and debug the parameters of find_surface_model.,"hdev,halcon-25.05.0.0,file-v1.2"
